Schulnummer;Kurzbezeichnung;Bezirksregierung;Kreis;Gemeinde;Sozialindexstufe
134909;Siegen, GG Sonnenhangschule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;2
134910;Siegen, GG Diesterwegschule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;6
134922;Siegen, GG Montessori am Lindenberg;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;5
134934;Siegen, GG Giersbergschule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;6
134946;Siegen, GG Kaan-Marienborn;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;3
134960;Siegen, KG Hammerhütter;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;5
134971;Siegen, GG Spandauer;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;6
134995;Siegen, GG Obenstruth;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;7
135008;Siegen, GG Nordschule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;9
135033;Burbach, GG Marktplatz;BR Arnsberg;Kreis Siegen-Wittgenstein;Burbach;4
135045;Freudenberg, GG Alchen;BR Arnsberg;Kreis Siegen-Wittgenstein;Freudenberg;2
135057;Freudenberg, GG Büschergrund;BR Arnsberg;Kreis Siegen-Wittgenstein;Freudenberg;2
135069;Freudenberg, GG Am Alten Flecken;BR Arnsberg;Kreis Siegen-Wittgenstein;Freudenberg;2
135070;Freudenberg, GG Oberfischbach;BR Arnsberg;Kreis Siegen-Wittgenstein;Freudenberg;2
135094;Kreuztal, GG Bodelschwingh Schule;BR Arnsberg;Kreis Siegen-Wittgenstein;Kreuztal;6
135100;Kreuztal, GG (Verb.) Adolf-Wurmbach;BR Arnsberg;Kreis Siegen-Wittgenstein;Kreuztal;3
135112;Kreuztal, GG Fellinghausen;BR Arnsberg;Kreis Siegen-Wittgenstein;Kreuztal;3
135124;Kreuztal, GG Jung-Stilling-Schule;BR Arnsberg;Kreis Siegen-Wittgenstein;Kreuztal;3
135136;Kreuztal, KG St. Martin-Schule;BR Arnsberg;Kreis Siegen-Wittgenstein;Kreuztal;3
135148;Kreuztal,GG an Dreslers Park;BR Arnsberg;Kreis Siegen-Wittgenstein;Kreuztal;9
135161;Neunkirchen, GG Salchendorf;BR Arnsberg;Kreis Siegen-Wittgenstein;Neunkirchen;5
135185;Neunkirchen, GG Kopernikus;BR Arnsberg;Kreis Siegen-Wittgenstein;Neunkirchen;4
135197;Netphen, GG Johannlandschule;BR Arnsberg;Kreis Siegen-Wittgenstein;Netphen;1
135215;Netphen, GG (Verb.) Frohnhausener Str.;BR Arnsberg;Kreis Siegen-Wittgenstein;Netphen;3
135240;Netphen, GG Deuz;BR Arnsberg;Kreis Siegen-Wittgenstein;Netphen;4
135264;Netphen, GG (Verb.) Dreisbachtalschule;BR Arnsberg;Kreis Siegen-Wittgenstein;Netphen;3
135288;Wilnsdorf, GG Vorm Brand;BR Arnsberg;Kreis Siegen-Wittgenstein;Wilnsdorf;2
135290;Wilnsdorf, GG Wilgersdorf;BR Arnsberg;Kreis Siegen-Wittgenstein;Wilnsdorf;2
135331;Wilnsdorf, GG Dielfen;BR Arnsberg;Kreis Siegen-Wittgenstein;Wilnsdorf;2
135343;Wilnsdorf, KG Rudersdorf;BR Arnsberg;Kreis Siegen-Wittgenstein;Wilnsdorf;3
135355;Ense, GG Bernhardusschule Niederense;BR Arnsberg;Kreis Soest;Ense;2
135367;Ense, KG Fürstenberg;BR Arnsberg;Kreis Soest;Ense;1
135379;Ense, GG Höingen;BR Arnsberg;Kreis Soest;Ense;2
135380;Lippetal, KG St. Stephanus-Schule;BR Arnsberg;Kreis Soest;Lippetal;2
135392;Lippetal, KG St. Ida-Schule Herzfeld;BR Arnsberg;Kreis Soest;Lippetal;2
135409;Lippetal, KG Ludgerus-Schule Lippborg;BR Arnsberg;Kreis Soest;Lippetal;2
135434;Möhnesee, GG (Verb.) Möhnesee;BR Arnsberg;Kreis Soest;Möhnesee;1
135446;Bad Sassendorf, GG Sälzer;BR Arnsberg;Kreis Soest;Bad Sassendorf;2
135458;Soest, GG Hellweg;BR Arnsberg;Kreis Soest;Soest;1
135460;Soest, GG Johannes;BR Arnsberg;Kreis Soest;Soest;7
135471;Soest, KG Patroklischule;BR Arnsberg;Kreis Soest;Soest;2
135483;Soest, GG Petrischule;BR Arnsberg;Kreis Soest;Soest;2
